symbol,timestamp,open,high,low,close
GBPUSD=X,2025-04-09,1.28000,1.29000,1.27779,1.28363
GBPUSD=X,2025-04-08,1.27720,1.27899,1.27693,1.27872
GBPUSD=X,2025-04-07,0.78536,0.78582,0.78155,0.78536
GBPUSD=X,2025-04-06,0.77468,0.78612,0.77328,0.77468
GBPUSD=X,2025-04-03,0.76402,0.77423,0.76271,0.76410
GBPUSD=X,2025-04-02,0.76659,0.76761,0.75754,0.76659
GBPUSD=X,2025-04-01,0.77387,0.77507,0.77054,0.77387
GBPUSD=X,2025-03-31,0.77401,0.77640,0.77280,0.77401
GBPUSD=X,2025-03-30,0.77297,0.77582,0.77090,0.77297
GBPUSD=X,2025-03-27,0.77216,0.77380,0.77119,0.77216
GBPUSD=X,2025-03-26,0.77659,0.77664,0.76974,0.77659
GBPUSD=X,2025-03-25,0.77256,0.77671,0.77248,0.77256
GBPUSD=X,2025-03-24,0.77383,0.77494,0.77158,0.77383
GBPUSD=X,2025-03-23,0.77377,0.77462,0.77078,0.77377
GBPUSD=X,2025-03-20,0.77122,0.77592,0.77102,0.77122
GBPUSD=X,2025-03-19,0.76876,0.77301,0.76843,0.76876
GBPUSD=X,2025-03-18,0.76928,0.77196,0.76909,0.76928
GBPUSD=X,2025-03-17,0.77019,0.77196,0.76898,0.77019
GBPUSD=X,2025-03-16,0.77344,0.77359,0.76960,0.77344
GBPUSD=X,2025-03-13,0.77184,0.77451,0.77172,0.77184
GBPUSD=X,2025-03-12,0.77143,0.77392,0.77085,0.77143
GBPUSD=X,2025-03-11,0.77258,0.77435,0.77022,0.77258
GBPUSD=X,2025-03-10,0.77676,0.77679,0.77192,0.77676
GBPUSD=X,2025-03-09,0.77331,0.77668,0.77245,0.77331
GBPUSD=X,2025-03-06,0.77615,0.77670,0.77258,0.77615
GBPUSD=X,2025-03-05,0.77577,0.77724,0.77391,0.77577
GBPUSD=X,2025-03-04,0.78173,0.78321,0.77657,0.78173
GBPUSD=X,2025-03-03,0.78740,0.78877,0.78411,0.78740
GBPUSD=X,2025-03-02,0.79347,0.79466,0.78677,0.79347
GBPUSD=X,2025-02-27,0.79380,0.79529,0.79229,0.79380
GBPUSD=X,2025-02-26,0.78864,0.79264,0.78815,0.78864
GBPUSD=X,2025-02-25,0.78912,0.79145,0.78695,0.78912
GBPUSD=X,2025-02-24,0.79262,0.79314,0.78882,0.79262
GBPUSD=X,2025-02-23,0.79058,0.79284,0.78803,0.79058
GBPUSD=X,2025-02-20,0.78930,0.79174,0.78879,0.78930
GBPUSD=X,2025-02-19,0.79479,0.79487,0.79058,0.79479
GBPUSD=X,2025-02-18,0.79212,0.79552,0.79162,0.79212
GBPUSD=X,2025-02-17,0.79242,0.79477,0.79224,0.79242
GBPUSD=X,2025-02-16,0.79472,0.79492,0.79280,0.79472
GBPUSD=X,2025-02-13,0.79602,0.79684,0.79182,0.79602
GBPUSD=X,2025-02-12,0.80328,0.80365,0.79745,0.80328
GBPUSD=X,2025-02-11,0.80317,0.80784,0.80234,0.80317
GBPUSD=X,2025-02-10,0.80917,0.81080,0.80483,0.80917
GBPUSD=X,2025-02-09,0.80709,0.80826,0.80505,0.80709
GBPUSD=X,2025-02-06,0.80419,0.80715,0.80096,0.80419
GBPUSD=X,2025-02-05,0.79983,0.80858,0.79943,0.79983
GBPUSD=X,2025-02-04,0.80153,0.80234,0.79692,0.80153
GBPUSD=X,2025-02-03,0.80450,0.80765,0.80051,0.80450
GBPUSD=X,2025-02-02,0.81368,0.81635,0.80445,0.81368
GBPUSD=X,2025-01-30,0.80503,0.80725,0.80295,0.80503
GBPUSD=X,2025-01-29,0.80295,0.80485,0.80162,0.80295
GBPUSD=X,2025-01-28,0.80393,0.80688,0.80246,0.80393
GBPUSD=X,2025-01-27,0.80261,0.80550,0.80227,0.80261
GBPUSD=X,2025-01-26,0.80275,0.80469,0.79859,0.80275
GBPUSD=X,2025-01-23,0.80964,0.80980,0.80028,0.80964
GBPUSD=X,2025-01-22,0.81212,0.81341,0.80932,0.81212
GBPUSD=X,2025-01-21,0.81073,0.81240,0.80814,0.81073
GBPUSD=X,2025-01-20,0.81100,0.81761,0.81010,0.81100
GBPUSD=X,2025-01-19,0.82170,0.82200,0.81154,0.82170
GBPUSD=X,2025-01-16,0.81732,0.82225,0.81679,0.81732
GBPUSD=X,2025-01-15,0.81684,0.82122,0.81649,0.81684
GBPUSD=X,2025-01-14,0.81897,0.82199,0.81263,0.81897
GBPUSD=X,2025-01-13,0.81759,0.82363,0.81679,0.81759
GBPUSD=X,2025-01-12,0.81944,0.82644,0.81922,0.81944
GBPUSD=X,2025-01-09,0.81312,0.81990,0.81163,0.81312
GBPUSD=X,2025-01-08,0.80913,0.81670,0.80875,0.80913
GBPUSD=X,2025-01-07,0.80150,0.81154,0.80043,0.80150
GBPUSD=X,2025-01-06,0.79937,0.80101,0.79522,0.79937
GBPUSD=X,2025-01-05,0.80480,0.80530,0.79685,0.80480
GBPUSD=X,2025-01-02,0.80782,0.80795,0.80522,0.80782
GBPUSD=X,2025-01-01,0.79886,0.80913,0.79745,0.79886
GBPUSD=X,2024-12-30,0.79695,0.79911,0.79572,0.79695
GBPUSD=X,2024-12-29,0.79506,0.79954,0.79325,0.79506
GBPUSD=X,2024-12-26,0.79822,0.79966,0.79420,0.79822
GBPUSD=X,2024-12-25,0.79726,0.79992,0.79694,0.79726
GBPUSD=X,2024-12-24,0.79783,0.87667,0.79624,0.79796
GBPUSD=X,2024-12-23,0.79791,0.79851,0.79531,0.79791
GBPUSD=X,2024-12-22,0.79565,0.79937,0.79446,0.79565
GBPUSD=X,2024-12-19,0.80019,0.80157,0.79423,0.80019
GBPUSD=X,2024-12-18,0.79574,0.79836,0.78960,0.79574
